MODEL_FILTER,SOURCE_TABLE_NAME,TARGET_TABLE_NAME,RULE_NAME,RULE_SQL,IS_ACTIVE
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_SOURCE,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT,INR_CURRENCY_CHECK,SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT WHERE CURRENCY NOT IN ('INR'),Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_TGT,EMAIL_NOT_NULL_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_TGT WHERE EMAIL IS NULL",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_TGT,STATUS_VALID_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_TGT WHERE STATUS NOT IN ('ACTIVE','INACTIVE')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_TGT,COUNTRY_INDIA_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.CUSTOMER_TGT WHERE COUNTRY <> 'India'",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT,INR_CURRENCY_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT WHERE CURRENCY NOT IN ('INR')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT,BALANCE_NON_NEGATIVE_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT WHERE BALANCE < 0",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT,ACCOUNT_STATUS_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT WHERE ACCOUNT_STATUS NOT IN ('ACTIVE','INACTIVE')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT,CUSTOMER_ID_NOT_NULL_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.ACCOUNT_TGT WHERE CUSTOMER_ID IS NULL",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT,INR_CURRENCY_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT WHERE CURRENCY NOT IN ('INR')",Y
BANKING_MODEL,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_SRC,SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT,AMOUNT_POSITIVE_CHECK,"SELECT COUNT(*) FROM SNOWFLAKE_LEARNING_DB.PRACTICE.TRANSACTION_TGT WHERE AMOUNT <= 0",Y
